Atom Nr.1

Distance label: 16 		 Original label: 17
Distance label: 17 		 Original label: 18
Distance label: 18 		 Original label: 19
Distance label: 19 		 Original label: 20
Distance label: 20 		 Original label: 21
Distance label: 21 		 Original label: 22
Distance label: 22 		 Original label: 23
Distance label: 23 		 Original label: 24
Distance label: 24 		 Original label: 25
Distance label: 25 		 Original label: 26
Distance label: 26 		 Original label: 27
Distance label: 27 		 Original label: 28
Distance label: 28 		 Original label: 29
Distance label: 29 		 Original label: 30
Distance label: 30 		 Original label: 31
Distance label: 31 		 Original label: 32
Distance label: 32 		 Original label: 33
Distance label: 33 		 Original label: 34
Distance label: 34 		 Original label: 35
Distance label: 35 		 Original label: 36
Distance label: 36 		 Original label: 37
Distance label: 37 		 Original label: 38
Distance label: 38 		 Original label: 39
Distance label: 39 		 Original label: 40
Distance label: 40 		 Original label: 41
Distance label: 41 		 Original label: 42
Distance label: 42 		 Original label: 43
Distance label: 43 		 Original label: 44
Distance label: 44 		 Original label: 45
Distance label: 45 		 Original label: 46
Distance label: 46 		 Original label: 47
Distance label: 47 		 Original label: 48
Distance label: 48 		 Original label: 49
Distance label: 49 		 Original label: 50
Distance label: 50 		 Original label: 51
Distance label: 51 		 Original label: 52
Distance label: 52 		 Original label: 53
Distance label: 53 		 Original label: 54
Distance label: 54 		 Original label: 55
Distance label: 55 		 Original label: 56
Distance label: 56 		 Original label: 57
Distance label: 57 		 Original label: 58
Distance label: 58 		 Original label: 59
Distance label: 59 		 Original label: 60
Distance label: 60 		 Original label: 61
Distance label: 61 		 Original label: 62
Distance label: 62 		 Original label: 63
Distance label: 63 		 Original label: 64
Distance label: 64 		 Original label: 65
Distance label: 65 		 Original label: 66
Distance label: 66 		 Original label: 67
Distance label: 67 		 Original label: 68
Distance label: 68 		 Original label: 69
Distance label: 69 		 Original label: 70
Distance label: 70 		 Original label: 71
Distance label: 71 		 Original label: 72
Distance label: 72 		 Original label: 73
Distance label: 73 		 Original label: 74
Distance label: 74 		 Original label: 75
Distance label: 75 		 Original label: 76
Distance label: 76 		 Original label: 77
Distance label: 77 		 Original label: 78
Distance label: 78 		 Original label: 79
Distance label: 79 		 Original label: 80
Distance label: 80 		 Original label: 81
Distance label: 81 		 Original label: 82
Distance label: 82 		 Original label: 83
